This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Wed Aug 18 23:51:48 2021

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ACWG ESM","ACWG TSM","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"50365310","1000.01","","5","5","5","5","5","5","5","12","64.5","0","0","5","PC","FP","9.604","0.013","1","qlp","112.357708","-12.69596","-5.964","0.085","-0.076","0.072","2458493.38398","0.00387","2.17153","0.00068","1.937","0.23","0.782012","0.001527","720","1.40612","5.5648","0.338744","6563.75","2507","20","485.735","11.9515","10249","264.7","4.19","0.07","2.17","0.07","","","7","","2019-03-26","2020-05-20","2021-06-01"
"88863718","1001.01","","3","4","3","3","4","4","4","23.7","157","0","0","5","PC","PC","9.42344","0.006","1","qlp","122.580465","-5.513852","-4.956","0.102","-15.555","0.072","2459250.064549","0.001925","1.931671","0.000008","3.18","0.173","1.118885","0.225672","1030","207.83","10.3168","3.21459","42432.8","3998","33","295.862","5.91","7070","126.4","4.03","0.09","2.01","0.09","","","7,34","v-shaped","2019-03-26","2021-06-11","2021-06-21"
"124709665","1002.01","","5","5","5","5","5","5","5","73.5","408","3","1","3","EB","FP","9.299501","0.058","1","spoc","104.726966","-10.580455","-1.462","0.206","-2.249","0.206","2459202.27787","0.001161","1.867588","0.000152","2.211864","0.094625","1.800717","0.075002","1657.147109","69.07734","36.432872","21.315702","20641.445701","3057.065736","24.86858","943.109","106.333","8924","124","","","5.73255","","","","7,33","TFOP FP; retired as NEB","2019-03-26","2021-04-07","2021-06-01"
"106997505","1003.01","","5","5","5","5","5","5","5","105.3","662.1","0","3","1","PC","FP","9.3003","0.037","1","qlp","110.559945","-25.207017","-0.939","0.041","1.64","0.055","2458493.395752","0.00535","2.74323","0.00108","3.167","0.642","0.416362","0.000849","383.410004","0.781988","","","1177.359985","1631","14","7728.17","1899.57","5388.5","567","4.15","1.64","","","","","7","No Gaia DR2 radius but might be evolved so transiting object might be too big;","2019-03-26","2019-12-17","2021-06-01"
"238597883","1004.01","","5","5","5","5","5","5","5","8.8","56","0","1","1","PC","FP","9.1355","0.006","1","qlp","122.178195","-48.802811","-4.496","0.069","9.347","0.062","2458493.51196","0.00653","3.57491","0.00146","2.576","0.346","0.543004","0.001172","500","1.07966","4.75276","0.279769","2929.87","2049","17","356.437","4.6175","9219","171.1","4.14","0.07","2.15","0.06","","","7,9","","2019-03-26","2020-05-20","2021-06-01"
"169904935","1005.01","","5","5","5","5","5","5","5","47","188.9","3","2","4","PC","FP","9.1309","0.006","1","qlp","120.704811","-11.101521","-26.932","1.935","-2.901","2.06","2458492.5552","0.00106","4.55072","0.00033","2.599","0.284","3.937496","0.002364","3620","2.1771","6.54449","0.45717","254.05","1112","73","100.711","14.121","5613","179.9","","","1.09","0.07","","","7","","2019-03-26","2020-05-20","2021-06-01"
"156115721","1006.01","","5","5","5","5","5","5","5","56.8","234.3","0","0","4","EB","FP","9.2386","0.006","1","spoc","124.359239","-27.273521","-29.1","2.6","-6.8","2.2","2459229.984579","0.002159","2.504792","0.000408","4.379756","0.103655","2.468011","0.088362","2270.540219","81.38088","8.69509","8.438766","1750.932635","1649.82207","19.892866","","","6616","200","","","1.53429","1.4887","","","7,8,34","TFOP FP; retired as NEB","2019-03-26","2021-03-23","2021-06-01"
"65212867","1007.01","","3","4","3","3","4","4","4","59.9","60.1","0","3","6","PC","PC","8.87759","0.006","1","qlp","112.752393","-4.463359","0.357","0.058","3.399","0.045","2459247.930695","0.0013","6.998921","0.000014","3.953","0.437","3.087878","0.001025","2840","0.943618","14.7752","0.764705","448.744","1282","44","283.291","3.0025","6596","139.2","3.71","0.09","2.7","0.13","0.154","0.01","7,34","","2019-03-26","2021-06-11","2021-06-21"
"440801822","1008.01","","5","5","5","5","5","5","5","6.8","56.3","1","1","3","PC","FP","8.9362","0.012","1","qlp","109.382839","13.395219","-17.9","1.1","1.3","1","2458492.521362","0.00579","2.04936","0.00105","2.234","0.401","0.270925","0.000612","249.5","0.564034","1.71607","0.318238","2107.050049","1887","12","144.297","","6858.5","584.599976","4.2","1.9","0.99","0.18","","","7","","2019-03-26","2019-12-17","2021-06-01"
"107782586","1009.01","","3","4","3","3","3","4","4","42.8","457.9","0","1","3","PC","PC","8.4331","0.028","1","qlp","111.667845","-24.462111","-3.297","0.319","4.849","0.358","2459252.751357","0.001632","1.96003","0.000005","1.842","0.158","2.282443","1.002143","2100","922.582","","","26538.5","3555","11","866.147","172.097","8868.7","809.8","","","","","","","7,34","no stellar radius; Simbad lists as B3III/IV; planet likely larger; odd-even; hot star with extremely rapid rotation","2019-03-26","2021-06-11","2021-06-21"
